,Country,Year,Grain,Direction
29,Canada,2019,corn,import
61,Argentina,2019,corn,import
93,Brazil,2019,corn,import
125,Mexico,2019,corn,import
157,Chile,2019,corn,import
189,Turkey,2019,corn,import
221,Peru,2019,corn,import
253,European Union,2019,corn,import
285,China,2019,corn,import
317,Colombia,2019,corn,import
349,Sub-Saharan Africa,2019,corn,import
381,Vietnam,2019,corn,import
413,Bolivia,2019,corn,import
445,Ecuador,2019,corn,import
477,Pakistan,2019,corn,import
509,Uruguay,2019,corn,import
541,Australia,2019,corn,import
573,Dominican Republic,2019,corn,import
605,Egypt,2019,corn,import
637,Haiti,2019,corn,import
669,Honduras,2019,corn,import
701,India,2019,corn,import
733,Indonesia,2019,corn,import
765,Israel,2019,corn,import
797,Japan,2019,corn,import
829,Other Europe,2019,corn,import
861,Paraguay,2019,corn,import
893,Philippines,2019,corn,import
925,South Korea,2019,corn,import
957,Thailand,2019,corn,import
989,United Arab Emirates,2019,corn,import
1021,Canada,2019,malting barley,import
1054,European Union,2019,malting barley,import
1087,Argentina,2019,malting barley,import
1120,Mexico,2019,malting barley,import
1153,India,2019,malting barley,import
1186,China,2019,malting barley,import
1219,South Korea,2019,malting barley,import
1252,Sub-Saharan Africa,2019,malting barley,import
1285,Thailand,2019,malting barley,import
1318,Uruguay,2019,malting barley,import
1351,Canada,2019,oats,import
1384,European Union,2019,oats,import
1417,Australia,2019,oats,import
1450,Mexico,2019,oats,import
1483,South Korea,2019,oats,import
1516,Chile,2019,oats,import
1549,Japan,2019,oats,import
1582,China,2019,oats,import
1615,Ecuador,2019,oats,import
1648,India,2019,oats,import
1681,Peru,2019,oats,import
1714,Argentina,2019,oats,import
1747,Colombia,2019,oats,import
1780,Israel,2019,oats,import
1813,Jamaica,2019,oats,import
1846,Malaysia,2019,oats,import
1879,Other Europe,2019,oats,import
1912,Paraguay,2019,oats,import
1945,Philippines,2019,oats,import
1978,Sub-Saharan Africa,2019,oats,import
2011,Turkey,2019,oats,import
2044,United Arab Emirates,2019,oats,import
2077,Uruguay,2019,oats,import
2110,Argentina,2019,other barley,import
2142,Mexico,2019,other barley,import
2174,European Union,2019,other barley,import
2206,Canada,2019,other barley,import
2238,China,2019,other barley,import
2270,Chile,2019,other barley,import
2302,Sub-Saharan Africa,2019,other barley,import
2334,Uruguay,2019,other barley,import
2366,India,2019,other barley,import
2398,South Korea,2019,other barley,import
2430,Bolivia,2019,other barley,import
2462,Brazil,2019,other barley,import
2494,Colombia,2019,other barley,import
2526,Dominican Republic,2019,other barley,import
2558,Haiti,2019,other barley,import
2590,Peru,2019,other barley,import
2622,Turkey,2019,other barley,import
2654,Argentina,2019,sorghum,import
2686,Mexico,2019,sorghum,import
2718,European Union,2019,sorghum,import
2750,Canada,2019,sorghum,import
2782,China,2019,sorghum,import
2814,Chile,2019,sorghum,import
2846,Sub-Saharan Africa,2019,sorghum,import
2878,Uruguay,2019,sorghum,import
2910,India,2019,sorghum,import
2942,South Korea,2019,sorghum,import
2974,Bolivia,2019,sorghum,import
